FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,updateTime
1012648,Prairie Street Farmers Market,,Prairie Street Farmers Market,,,,312 W Blackhawk. Ave,Prairie du Chien ,Crawford,Wisconsin,53821,05/07/2016 to 10/15/2016,Sat: 8:00 AM-1:00 PM;,,,,,,,-91.149952,43.05166,,7/15/2016 12:33
1012649,Park Place Market,http://www.parkplacemarketnf.com,www.facebook.com/parkplacemarket,,,,630 Main Street,Niagara Falls,Niagara,New York,14301,01/01/2016 to 12/31/2016,Tue: 10:00 AM-1:00 PM;Thu: 10:00 AM-6:00 PM;Sat: 10:00 AM-3:00 PM;,,,,,,,-79.0574029,43.093571,,7/15/2016 12:25
1012651,Anthem Farmers Market,http://www.arizonacommunityfarmersmarkets.com/FM_Anthem.html,ww.facebook.com/Anthem-Farmers-Market-608872579141231/,Anthemfm1,,,41703 N. Gavilan Peak Pkwy,Anthem ,Maricopa,Arizona,85086,10/02/2016 to 05/28/2017,Sun: 9:00 AM-1:00 PM;,,,,,,,-112.136313,33.862997,,7/15/2016 13:25
1012652,The Green Market,http://greenmarketmilledgeville.com,https://www.facebook.com/GreenMarketMilledgeville/,https://twitter.com/millygmarket,,,222 East Hancock St,Milledgeville,Baldwin,Georgia,31061,01/01/2016 to 12/31/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-83.22488,33.082027,,7/15/2016 13:19
1012653,Renton Farmers Market,http://rentonfarmersmarket.com,https://www.facebook.com/RentonFarmersMarket/,https://twitter.com/RentonFarmersM,,https://www.instagram.com/rentonfarmersmarket/,233 Burnett Ave South,Renton,King,Washington,98057,06/07/2016 to 09/27/2016,Tue: 3:00 PM-7:00 PM;,,,,,,,-122.2084872,47.4802495,,7/15/2016 13:22
1012654,Carefree Farmers Market,http://www.arizonacommunityfarmersmarkets.com/FM_Carefree.html,https://www.facebook.com/Carefree-Farmers-Market-151858821512415/,https://twitter.com/CarefreeMarket,,,1 Sundial Circle,Carefree ,Maricopa,Arizona,85377,10/07/2016 to 05/26/2017,Fri: 9:00 AM-1:00 PM;,,,,,,,-111.9217879,33.8246683,,7/15/2016 13:33
1012655,Verrado Community Farmers Market,http://www.arizonacommunityfarmersmarkets.com/FM_Verrado.html,https://www.facebook.com/VerradoCommunityFarmersMarket/,,,,Main Street and N. Verrado Way,Buckeye,Maricopa,Arizona,85396,11/05/2016 to 05/27/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-112.514122,33.495874,,7/15/2016 13:45
1012656,Pine River Market Square,https://prmarketsquare.wordpress.com/,https://www.facebook.com/Pine-River-Market-Square-181422103911/,,,https://www.instagram.com/pine_river_market_square/?hl=en,Barclay Ave & 3rd Street,Pine River,Cass,Minnesota,56474,05/27/2016 to 09/30/2016,Fri: 2:30 PM-5:30 PM;,,,,,,,-94.4018273,46.719848,,7/15/2016 14:01
1012657,The AZ Capitol Farmers Market ,http://www.arizonacommunityfarmersmarkets.com/FM_TheCapitol.html,https://www.facebook.com/State-Capitol-Farmers-Market-1572316693029038/,,,,1700 W. Adams Street,Phoenix ,Maricopa,Arizona,85007,1/12/2017,Thu: 10:30 AM-1:30 PM;,,,,,,,-112.096154,33.44892,,7/15/2016 14:39
1012659,Sun City Farmers Market,http://www.arizonacommunityfarmersmarkets.com/FM_SunCity.html,acebook.com/Sun-City-Farmers-Market-631299790224049/,,,,16820 N. 99th Avenue,Sun City,Maricopa,Arizona,85351,10/06/2016 to 05/25/2017,Thu: 9:00 AM-1:00 PM;,,,,,,,-112.273728,33.634933,,7/15/2016 15:00
1012660,Black Seed Farmers Market,http://www.blackseedfarmersmarket.com,www.facebook.com/blackseedfarmersmarket,,,,248 East Mountain St.,Worcester,Worcester,Massachusetts,1606,,Sun: 10:00 AM-2:00 PM;,,,,,,,-71.7738903,42.3154222,,7/15/2016 15:22
1012661,Southwest DC Farmer's Market,http://www.dreamingoutloud.org,https://www.facebook.com/DOLmarkets/,https://twitter.com/DOLDC,,https://www.instagram.com/doldc/,425 M Street SW,"Washington, DC",District of Columbia,District of Columbia,20024,05/28/2016 to 11/19/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-77.018177,38.87689,,7/15/2016 15:40
1012662,Dillsburg Farmers' Market,http://dillsburgfarmersma.wix.com/dbgfarmersmarket,facebook.com/DillsburgFarmersMarket/,twitter.com/dbgfarmers,youtube.com/channel/UCut3qwS3znzDQ63WGVMnQ0A/feed,instagram.com/dbgfarmers,117 N. Baltimore Street,Dillsburg,York,Pennsylvania,17019,05/21/2016 to 10/08/2016,Sat: 8:00 AM-12:00 PM;,10/22/2016 to 11/19/2016,Sat: 9:00 AM-12:00 PM;,,,,,-77.036579,40.112875,,7/15/2016 15:58
1012663,Minnesota Avenue Farmer's Market,http://www.dreamingoutloud.org,https://www.facebook.com/DOLmarkets/,https://twitter.com/DOLDC,,https://www.instagram.com/doldc/,3924 Minnesota Avenue NE,"Washington, DC",District of Columbia,District of Columbia,20019,06/01/2016 to 11/16/2016,Wed: 3:00 PM-6:00 PM;,,,,,,,-76.950947,38.893844,,7/15/2016 15:48
1012664,El Centro de Laredo Farmers Market,http://laredomainstreet.org/,laredomainstreet,laredomainstreet,,Instagram: laredomainstreet,1301 Farragut St.,Laredo,Webb,Texas,78040,01/01/2016 to 12/31/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-99.508713,27.505348,,7/15/2016 16:10
1012665,Dripping Springs Farmers Market,http://cityofdrippingsprings.com,Dripping Springs Farmers Market - Official,,,instagram,140 East Mercer Street,Dripping Springs ,Hays,Texas,78620,01/01/2016 to 12/31/2016,Wed: 3:00 PM-7:00 PM;,,,,,,,-98.0864453,30.1922992,,7/15/2016 16:43
1012666,Corpus Christi Downtown Farmers' Market,http://www.ccdowntownfm.com,https://www.facebook.com/CorpusChristiDowntownFarmersMarket/,https://twitter.com/ccdowntownfm,https://www.youtube.com/channel/UCYbRpp3vuRs5xLsbrB1ospA,https://www.instagram.com/ccdowntownfm/,100 N Shoreline Blvd,Corpus Christi ,Nueces,Texas,78401,01/01/2016 to 12/31/2016,Wed: 5:00 PM-8:00 PM;,,,,,,,-97.392539,27.791933,,7/15/2016 16:40
1012667,Irvington Farmers Market,http://www.irvingtonfarmersmarket.org,facebook.com/irvingtonFM,,,,NE 16th Avenue (between Broadway & Weidler),Portland,Multnomah,Oregon,97212,06/05/2016 to 10/30/2016,Sun: 9:30 AM-2:30 PM;,,,,,,,-122.649445,45.534667,,7/15/2016 17:16
1012668,Menomonie Farmer's Market,http://www.westcap.org,https://www.facebook.com/Menomonie-Farmers-Market-132792951987/,,,,"Wilson Park, 8th Street",Menomonie ,Dunn,Wisconsin,54751,05/21/2016 to 10/22/2016,Wed: 11:30 AM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-91.921551,44.875275,,7/15/2016 17:33
1012669,Wellfleet Farmers' Market,http://www.wellfleetfarmersmarket.com,wellfeetfarmersmarket,,,,335 Main Street,Wellfleet,Barnstable,Massachusetts,2667,05/18/2016 to 10/12/2016,Wed: 8:00 AM-12:00 PM;,,,,,,,-70.0324231,41.9385003,,7/15/2016 17:36
1012670,Carlisle Farmer's Market,,http://www.facebook.com/CarlisleFarmersMarket/,,,,95 Highway 5,Carlisle,Warren,Iowa,50047,06/04/2016 to 10/29/2016,Sat: 8:30 AM-11:30 AM;,,,,,,,-93.486073,41.494981,,7/15/2016 18:04
1012671,Roslyn Farmers Market,http://www.roslynfarmersmarket.org/,https://www.facebook.com/RoslynFarmersMarket/,,,,101 Pennsylvania Ave.,Roslyn,Kittitas,Washington,98941,06/12/2016 to 09/11/2016,Sun: 10:00 AM-2:00 PM;,,,,,,,-120.993868,47.222756,,7/15/2016 18:02
1012675,Slippery Rock Community Farmers Market ,,https://www.facebook.com/SRCFM/,,,,111 Stoughton Beach,Slippery Rock,Butler,Pennsylvania,16057,05/07/2016 to 10/29/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-80.0304479,41.0377656,,7/15/2016 21:56
1012676,Winneshiek Farmers Market,"http://www,winnehiekfarmersmarket.com",,,,,Lower Oneota Coop Parking lot,Decorah,Winneshiek,Iowa,52101,05/01/2016 to 10/31/2016,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-11:00 AM;,,,,,,,-91.788765,43.3046,,7/16/2016 0:16
1012677,Spencer Riverfront Farmers Market,,https://www.facebook.com/SpencerRiverfrontDistrictFarmersMarket/,,,,24 West Park Street,Spencer,Clay,Iowa,51301,06/04/2016 to 10/08/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-95.1457676,43.1375126,,7/16/2016 7:20
1012678,Drake Neighborhood Farmers Market,http://www.drakefarmersmarket.org,https://www.facebook.com/drakefarmersmarket/,,,,University Avenue and 26th St,Des Moines,Polk,Iowa,50311,05/18/2016 to 10/26/2016,Wed: 4:00 PM-7:00 PM;,,,,,,,-93.6521667,41.6003891,,7/16/2016 9:22
1012679,Bensenville French Market,http://www.bensidounmidwestmarkets.com/,facebook.com/BensenvilleFrenchMarket,https://twitter.com/BensidounMarket,,https://www.instagram.com/bensidounfrenchmarket/,10 S Center street,Bensenville,DuPage,Illinois,60105,06/15/2016 to 08/31/2016,Wed: 5:00 PM-9:00 PM;,,,,,,,-87.941926,41.95608,,7/16/2016 17:11
1012680,Lisle French Market,http://www.bensidounmidwestmarkets.com/,facebook.com/LisleFrenchMarket,https://twitter.com/BensidounMarket,,https://www.instagram.com/bensidounfrenchmarket/,Garfield Ave. North of Burlington,Lisle,DuPage,Illinois,60532,06/11/2016 to 09/03/2016,Sat: 8:00 AM-1:00 PM;,,,,,,,-88.076118,41.799605,,7/16/2016 17:18
1012681,Fox Point Farmers' Market,,Fox Point Farmers' Market,,,,7300 N. Lombardy Rd.,Fox Point,Milwaukee,Wisconsin,53217,06/18/2016 to 10/15/2016,Sun: 8:00 AM-12:00 PM;,,,,,,,-87.905279,43.149451,,7/17/2016 16:51
1012682,Manson Farmers Market,,,,,,Water Tower Park,Manson,Calhoun,Iowa,50563,07/05/2016 to 09/27/2016,Tue: 4:00 PM-6:00 PM;,,,,,,,-94.5341421,42.5291439,,7/17/2016 14:26
1012683,Heights City Market,,,,,,99 Center Street,Muskegon Heights ,Muskegon,Michigan,49444,06/03/2016 to 09/30/2016,Fri: 12:00 PM-6:00 PM;,,,,,,,-86.242558,43.201885,,7/17/2016 22:37
1012684,White House Farmers Merket,http://www.cityofwhitehouse.com/government/white-house-farmers-market-information,https://www.facebook.com/WHFarmersMarket/,https://twitter.com/,,,105 College Street,White House,Sumner,Tennessee,37188,05/25/2016 to 08/31/2016,Wed: 3:30 PM-7:00 PM;,,,,,,,-86.6525697,36.4679044,,7/18/2016 8:33
1012685,Fairburn Farmers Market,http://www.fairburnfarmersmarket.com,Fairburn Farmers Market,,,,15 West Broad Street ,Fairburn,Fulton,Georgia,30213,06/03/2016 to 08/26/2016,Fri: 4:00 PM-7:00 PM;,,,,,,,-84.582082,33.566788,,7/18/2016 10:11
1012686,East Bayfront Eats & Arts,,facebook.com/eatsandarts,,,,6th & Parade,Erie,Erie,Pennsylvania,16507,,Sat: 10:00 AM-3:00 PM;,,,,,,,-80.0766831,42.13264,,7/18/2016 10:20
1012687,Welk Certified Farmers' Market,,facebook.com/welkfm,,,instagram: @welkfm,8860 Lawrence Welk Dr,Escondido,San Diego,California,92026,01/01/2016 to 12/31/2016,Mon: 3:00 PM-7:00 PM;,,,,,,,-117.142839,33.232552,,7/18/2016 11:14
1012688,Encinitas Station Certified Farmers Market,http://farmersmarketencinitas.com,https://www.facebook.com/Encinitas-Station-Certified-Farmers-Market-180841945358756/?ref=bookmarks,,,instagram: @encinitasfarmar,600 S Vulcan Ave,Encinitas,San Diego,California,,01/01/2016 to 12/31/2016,Wed: 4:00 PM-7:00 PM;,,,,,,,-117.292563,33.043816,,7/18/2016 11:40
1012689,Grow Dat Youth Farm Farmstand,http://growdatyouthfarm.org,https://www.facebook.com/pages/Grow-Dat-Youth-Farm/193229134029719?fref=ts,https://twitter.com/GrowDatNOLA,,https://www.instagram.com/growdatyouthfarm/,150 Zachary Taylor Dr. ,New Orleans ,Orleans,Louisiana,70116,01/07/2017 to 06/24/2017,Sat: 9:00 AM-12:00 PM;,,,,,,,-90.0928128,29.9943711,,7/18/2016 11:21
1012690,The Abraham Lincoln Memorial Hospital Market,http://www.thealmhmarket.org,facebook.com/thealmhmarket,,,,1408 Short Eleventh Street,Lincoln,Logan,Illinois,62656,05/21/2016 to 10/29/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-89.38516,40.154182,,7/18/2016 11:22
1012691,Geneva French Market,http://www.bensidounmidwestmarkets.com/,facebook.com/GenevaFrenchMarket,https://twitter.com/BensidounMarket,,https://www.instagram.com/bensidounfrenchmarket/,"Metra Parking Lot, NW Corner of South street & 4th Street.",Geneva ,DuPage,Illinois,60134,04/17/2016 to 11/13/2016,Sun: 9:00 AM-2:00 PM;,,,,,,,-88.31122,41.883766,,7/18/2016 14:43
1012692,Onslow County Farmers' Market,http://Onslowncfarmersmarket.com,OnslowCountyFarmersMarket ,,,,Western Blvd,Jacksonville ,Onslow,North Carolina,28540,04/08/2016 to 09/29/2016,Thu: 10:00 AM-2:00 PM;,,,,,,,-77.39531,34.781224,,7/18/2016 14:44
1012693,Onslow County Farmers' Market,http://Onslowncfarmersmarket.com,OnslowCountyFarmersMarket ,,,,4024 Richlands Hwy,Jacksonville,Onslow,North Carolina,28540,04/08/2016 to 10/29/2016,Sat: 8:30 AM-1:30 PM;,,,,,,,-77.493038,34.78226,,7/18/2016 14:43
1012695,Wilmette French Market,http://www.bensidounmidwestmarkets.com/,facebook.com/WilmetteFrenchMarke,https://twitter.com/BensidounMarket,,https://www.instagram.com/bensidounfrenchmarket/,"Metra Lot 722, Green Bay Road",Wilmette,DuPage,Illinois,60091,04/23/2016 to 11/05/2016,Sat: 8:00 AM-1:00 PM;,,,,,,,-87.7092596,42.0774802,,7/18/2016 14:52
1012696,Seaside Farmers Market,https://seasidefarmersmarket.wordpress.com,https://www.facebook.com/seasidefarmersmarket,,,,2255 E Co Hwy 30A,Santa Rosa Beach,Walton,Florida,32459,5/28/2016,Tue: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;,09/05/2016 to 11/05/2016,Sat: 8:00 AM-12:00 PM;,11/06/2016 to 03/12/2017,Sat: 9:00 AM-1:00 PM;,,,-86.137203,30.31994,,7/18/2016 16:09
1012697,Farmers on the Square,http://farmersonthesquare.com,https://www.facebook.com/FarmersontheSquare/,,,,2a N. Hanover St.,Carlisle,Cumberland,Pennsylvania,17013,05/04/2016 to 10/26/2016,Wed: 3:00 PM-7:00 PM;,,,,,,,-77.189307,40.201793,,7/18/2016 17:10
1012698,King George Farmers' Market,http://KingerogeFarmersMarket.com,FAcebook.com/KingGeorgeFarmersMarket,,,,10381 Ridge Road,King George ,King George,Virginia,22485,04/30/2016 to 10/29/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-77.1638413,38.2577486,,7/18/2016 19:04
1012699,White Harvest Farmers Market,http://www.clarawhitemission.org,,,,,5348 Moncrief Road,Jacksonville ,Duval,Florida,32209,01/01/2016 to 12/31/2016,Sat: 10:00 AM-5:00 PM;,,,,,,,-81.6846931,30.3704783,,7/18/2016 19:43
1012700,Rockmart Farmers Market,http://RockmartFarmersMarket.com,Facebook.com/RockmartFarmersMarket,,,,"Corner of Water St. and Church St., Downtown Rockmart",Rockmart ,Polk,Georgia,30153,05/05/2016 to 11/17/2016,Thu: 2:00 PM-6:00 PM;,12/01/2016 to 12/22/2016,Thu: 2:00 PM-5:00 PM;,,,,,-85.052814,33.997833,,7/18/2016 19:42
1012701,Greene County Farmers Market,,Greene county farmers market,,,,114 n chestnut st,Jefferson,Greene,Iowa,50129,06/07/2016 to 09/27/2016,Tue: 4:00 PM-6:30 PM;,,,,,,,-94.3740951,42.0157699,,7/18/2016 21:32
1012702,Kamuela Farmers Market,http://kamuelafarmersmarket.com/,https://www.facebook.com/kamuelafarmersmarket/,,,https://www.instagram.com/kamuelafarmersmarket/,67-139 Pukalani Road,Kamuela,Hawaii,Hawaii,96743,01/01/2016 to 12/31/2016,Sat: 7:00 AM-12:00 PM;,,,,,,,-155.662467,20.016964,,7/19/2016 3:28
1012703,New Morning Farmers Market-Saturday,http://www.newmorningfarm.net,New Morning Farm,@NewMorningFarm,,Instagram - @newmorningfarm,4400 Thirty-Sixth St. NW,Washington,District of Columbia,District of Columbia,20008,06/04/2016 to 11/19/2016,Sat: 8:00 AM-1:00 PM;,12/03/2016 to 03/11/2017,Sat: 9:00 AM-1:00 PM;,,,,,-77.070128,38.946848,,7/19/2016 9:59
1012705,Lansdale Farmers' Market,http://www.lansdalefarmersmarket.org,www.facebook.com/lansdalefarmersmarket,www.twitter.com/lansdalefm,,www.instagram.com/lansdalefarmersmarket,664 E. Main Street,Lansdale borough,Montgomery,Pennsylvania,19446,05/21/2016 to 11/05/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-75.281208,40.241654,,7/19/2016 11:42
1012706,Walton Farmers' Market,http://www.ccedelaware.org,https://www.facebook.com/SidneyNYFarmersMarket/,,,,89 Main St,Sidney,Delaware,New York,13838,06/28/2016 to 08/30/2016,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.390452,42.3142629,,7/19/2016 13:38
1012707,New Morning Farm Market - Wednesday,http://www.newmorningfarm.net,New Morning Farm,@NewMorningFarm,,Twitter - @newmorningfarm,420 12th St SE,Washington,District of Columbia,District of Columbia,20003,06/08/2016 to 08/31/2016,Wed: 4:00 PM-8:00 PM;,10/05/2016 to 10/26/2016,Wed: 3:30 PM-7:00 PM;,,,,,-76.988105,38.88299,,7/19/2016 14:15
1012708,New Morning Farm Market - Tuesday,http://www.newmorningfarm.net,New Morning Farm,@NewMorningFarm,,Twitter - @newmorningfarm,4400 36th St NW,"Washington, DC",District of Columbia,District of Columbia,20008,06/07/2016 to 09/27/2016,Tue: 3:30 PM-8:00 PM;,,,,,,,-77.070101,38.946505,,7/19/2016 14:14
1012709,Yellville Farmers Market,,https://www.facebook.com/YellvilleFarmersMarket,,,,300 Old Main Street,Yellville,Marion,Arkansas,72687,05/14/2016 to 09/10/2016,Sat: 5:30 PM-8:30 PM;,,,,,,,-92.681901,36.225396,,7/19/2016 16:46
1012710,14th & Kennedy Street Farmers Market,,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,instagram:14kenfm,"5500 Colorado Avenue, NW",Washington ,District of Columbia,District of Columbia,20011,04/09/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0334486,38.9559783,,7/20/2016 11:16
1012711,Verde Valley Farmers' Market,,Verde Valley Farmers Market,,,,Hollaman and Main,Camp Verde ,Yavapai,Arizona,86322,07/02/2016 to 10/01/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-111.852131,34.564092,,7/20/2016 11:17
1012712,City Market Kansas City- Year-round,http://thecitymarket.org,https://www.facebook.com/TheCityMarketKansasCity/,https://twitter.com/TheCityMarketKC,https://www.youtube.com/user/citymarketkansascity,,20 E 5th Street,Kansas City,Jackson,Missouri,64106,,Sat: 7:00 AM-3:00 PM;Sun: 7:00 AM-3:00 PM;,05/11/2016 to 09/28/2016,Wed: 4:00 PM-7:00 PM;,,,,,-94.5821788,39.1086815,,7/20/2016 14:02
1012713,Coupeville Farmers Market,,https://www.facebook.com/Coupeville-Farmers-Market-115641631824425/,,,,"Community Green, next to Coupeville Library, cross street Alexander",Coupeville ,Island,Washington,98239,04/02/2016 to 10/08/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-122.689225,48.21936,,7/20/2016 14:07
1012714,Oak Harbor Farmers Market,,https://www.facebook.com/FarmersMarketOakHarbor/,,,,Washington State Highway 20 next to Visitor Center,Oak Harbor Farmers Market,Island,Washington,98277,05/19/2016 to 09/29/2016,Thu: 4:00 PM-7:00 PM;,,,,,,,-122.647786,48.302342,,7/20/2016 14:37
1012716,Burnett County Farmers' Markets - Grantsburg - Burnett Medical Center,,https://www.facebook.com/Burnett-County-Farmers-Markets-250874305027758/,,,, 257 W St George Ave,Grantsburg,Burnett,Wisconsin,54840,06/24/2016 to 10/28/2016,Sat: 2:00 PM-4:00 PM;,,,,,,,-92.686157,45.774153,,7/21/2016 12:27
1012717,East Point Farmers Market ,http://www.downtowneastpoint.com/eastpointfarmersmarket/,https://www.facebook.com/search/top/?q=East%20Point%20Farmers%20Market,,,,2757 East Point St.,East Point ,Fulton,Georgia,30344,01/01/2016 to 12/31/2016,Wed: 4:00 PM-7:00 PM;,,,,,,,-84.441926,33.680029,,7/21/2016 14:39
1012718,Bentonville Farmers Market - Saturday,http://www.downtownbentonville.org/farmersmarket,https://www.facebook.com/BentonvilleFarmersMarket,,,,100 N Main St,Bentonville,Benton,Arkansas,72712,04/23/2016 to 10/29/2016,Sat: 7:00 AM-1:00 PM;,,,,,,,-94.208816,36.3723485,,7/21/2016 17:47
1012719,"South Fork Farmers, Local Artisan and Antique Market",http://www.southforkfarmersmarket.com,South Fork Farmers Market,,,,0168 Four Seasons Drive,South Fork,Rio Grande,Colorado,81154,07/23/2016 to 09/18/2016,Sat: 10:00 AM-3:00 PM;Sun: 10:00 AM-3:00 PM;,,,,,,,-106.6160037,37.6734709,,7/22/2016 18:38
1012720,Harrison Farmers Market,,https://www.facebook.com/Harrison-Farmers-Market-176449649139351/?ref=bookmarks,,,,Route 117,Harrison,Cumberland,Maine,4040,05/27/2016 to 09/23/2016,Fri: 1:00 PM-5:00 PM;,,,,,,,-70.686816,44.11296,,7/23/2016 7:54
1012723,Woodland Park Farmers' Market - Winter,http://www.wpfarmersmarket.com,WPFarmers Market,WPFarmers Market,,,215 E. Midland Road,Woodland Park,Teller,Colorado,80863,11/12/2016 to 12/10/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-105.051551,38.994733,,7/24/2016 13:58
1012724,Farmer & Artisan Regional Market,,https://www.facebook.com/groups/farmartmarket/,,,,William Ave (Route 32),Davis,Tucker,West Virginia,26260,06/10/2016 to 10/28/2016,Fri: 4:00 PM-6:30 PM;,,,,,,,-79.468602,39.127619,,7/24/2016 16:55
1012725,Muldoon Farmers Market,http://muldoonfarmersmarket.org,http://www.facebook.com/muldoonfarmersmarket,http://twitter.com/MuldoonFarmers,,,7440 Creekside Center Drive,Anchorage,Anchorage,Alaska,99504,06/27/2015 to 09/26/2015,Sat: 9:00 AM-2:00 PM;,06/25/2016 to 09/24/2016,Sat: 9:30 AM-2:30 PM;,,,,,-149.7431678,61.20806,,7/24/2016 17:35
1012726,Brookhaven Farmers Market,http://www.brookhavenfarmersmarket.com,https://www.facebook.com/brookhavenmarket,,,,1375 Fernwood Circle NE,Brookhaven,DeKalb,Georgia,30319,04/16/2016 to 12/10/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-84.334721,33.860129,,7/24/2016 22:05
1012728,Okanogan Valley Farmers Market - Okanogan,https://okanoganfarmersmarket.org/,https://www.facebook.com/OkanoganValleyFarmersMarket,,,,American Legion Park,Okanogan,Okanogan,Washington,98840,05/01/2016 to 10/01/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-119.5712323,48.3718393,,7/25/2016 0:43
1012729,Okanogan Valley Farmers Market - Omak,https://okanoganfarmersmarket.org/,https://www.facebook.com/OkanoganValleyFarmersMarket,,,,Civic League Park,Omak,Okanogan,Washington,98841,06/01/2016 to 10/01/2016,Tue: 3:30 PM-6:30 PM;,,,,,,,-119.530555,48.410245,,7/25/2016 0:42
1012730,Eastside Farmers' Market,http://www.eastsidefarmersmarket.org,,,,,202 S Ingersoll Street,Madison ,Dane,Wisconsin,53703,04/19/2016 to 12/20/2016,Tue: 4:00 PM-7:00 PM;,,,,,,,-89.3677304,43.0832213,,7/25/2016 13:59
1012731,Red Hills Online Market,http://www.rhomarket.com/,https://www.facebook.com/Red-Hills-Small-Farm-Alliance-216932908492459/?fref=ts,,,,1940 N Monroe St,Tallahassee,Leon,Florida,32303,01/01/2016 to 12/31/2016,Thu: 3:00 PM-6:00 PM;,,,,,,,-84.287205,30.464775,,7/25/2016 14:50
1012732,Waimea Midweek Farmers Market,,Waimea Midweek Farmers Market,Waimea Midweek Mkt,,Instagram :  waimeamidweekmarket,67-139 Pukalani Road,Waimea ( Kamuela ),Hawaii,Hawaii,96743,01/01/2016 to 12/31/2016,Wed: 9:00 AM-3:00 PM;,,,,,,,-155.650086,20.006422,,7/27/2016 2:18
1012734,Lancaster Central Market,http://www.centralmarketlancaster.com,https://www.facebook.com/LancasterCentralMarket/,https://twitter.com/lanccentmrkt,,https://www.instagram.com/centralmarketlancaster/,23 North Market Street,Lancaster,Lancaster,Pennsylvania,17603,01/01/2016 to 12/31/2016,Tue: 6:00 AM-4:00 PM;Fri: 6:00 AM-4:00 PM;Sat: 6:00 AM-2:00 PM;,,,,,,,-76.3064763,40.0383749,,7/27/2016 10:59
1012736,Williams County Farmer's Market,,,,,,High Street ,Bryan ,Williams,Ohio,43506,05/23/2016 to 10/27/2016,Tue: 7:00 AM-12:00 PM;Thu: 6:00 PM-9:00 PM;,,,,,,,-84.551292,41.474364,,7/27/2016 12:20
1012737,New Bedford Farmers Market/Downtown at Custom House Square,http://massinmotionnewbedford.org/projects/food-access/farmers-markets/,https://www.facebook.com/massinmotionnewbedford/,,,,Barkers Lane ,New Bedford,Bristol,Massachusetts,2740,06/16/2016 to 10/27/2016,Thu: 2:00 PM-6:00 PM;,,,,,,,-70.924564,41.634946,,7/27/2016 13:19
1012738,New Bedford Farmers Market- Clasky Common Park,http://massinmotionnewbedford.org/projects/food-access/farmers-markets/,https://www.facebook.com/massinmotionnewbedford/,,,,1119 Pleasant St.,New Bedford ,Bristol,Massachusetts,2740,07/09/2016 to 10/29/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-70.928587,41.644314,,7/27/2016 13:29
1012739,New Bedford Farmers Market- Brooklawn Park,http://massinmotionnewbedford.org/projects/food-access/farmers-markets/,https://www.facebook.com/massinmotionnewbedford/,,,,1997 Acushnet Ave.,New Bedford ,Bristol,Massachusetts,2745,06/13/2016 to 10/31/2016,Mon: 2:00 PM-6:00 PM;,,,,,,,-70.923644,41.675431,,7/27/2016 13:35
1012741,Hastings Farmers Market,http://hastingsfarmersmarket.org,https://www.facebook.com/HastingsFarmersMarket,,,https://www.instagram.com/hastings_farmers_market/,7 Maple Avenue,Hastings-on-Hudson,Westchester,New York,10706,06/04/2016 to 11/19/2016,Sat: 8:30 AM-1:30 PM;,,,,,,,-73.883751,40.995749,,7/28/2016 13:14
1012742,Nutley Farmers Market,http://www.nutleynj.org/farmersmarket,www.facebook.com/nutleyfarmersmarket1,twitter.com/nutleyfm,,www.instagram.com/nutleyfarmersmarket,Municipal Lot #1 (William Street east of Franklin Avenue),Nutley,Essex,New Jersey,7110,06/12/2016 to 10/30/2016,Sun: 9:00 AM-2:00 PM;,,,,,,,-74.160889,40.815615,,7/28/2016 15:30
1012744,Bronxville Farmers Market,http://www.bronxvillefarmersmarket.com/,https://www.facebook.com/BronxvilleFarmersMarket/,,,,Stone Place and Paxton Avenue ,Bronxville,Westchester,New York,10708,05/04/2016 to 11/19/2016,Sat: 8:30 AM-1:00 PM;,,,,,,,-73.8377863,40.9399964,,7/28/2016 15:30
